Car,City/University,Cost,BPP,Design,ACC,SkidPad,AutoX,Endu,Effic,Penalties,Overall Scores,Overall Placing,Competition
31.0,München TU,"93,00","49,14","120,00","66,79","75,00","100,00","325,00","96,81","0,00","925,74",1.0,FSG19
19.0,Karlsruhe KIT,"95,00","73,00","133,00","73,95","50,70","49,71","186,00","98,13","0,00","759,50",2.0,FSG19
85.0,Freiberg TU,"88,00","52,58","100,00","46,19","37,19","62,84","229,71","95,19","0,00","711,70",3.0,FSG19
99.0,Aachen RWTH,"92,00","74,00","115,00","58,39","12,41","48,89","205,64","93,74","0,00","700,07",4.0,FSG19
40.0,Eindhoven TU,"98,00","62,18","95,00","37,69","52,09","34,52","175,01","89,24","65,00","578,73",5.0,FSG19
35.0,Wolfenbüttel UAS,"70,00","66,04","95,00","56,20","42,74","50,55","89,43","100,00","20,00","549,96",6.0,FSG19
,Ostfalia,,,,,,,,,,,,FSG19
26.0,Stuttgart U,"100,00","70,00","130,00","75,00","49,32","79,91","0,00","0,00","0,00","504,23",7.0,FSG19
169.0,Ljubljana U,"68,00","37,14","75,00","31,73","29,98","46,86","110,78","86,67","0,00","486,17",8.0,FSG19
50.0,Lisboa IST,"77,00","58,21","110,00","53,26","29,66","0,00","99,66","82,00","35,00","474,80",9.0,FSG19
63.0,Trondheim NTNU,"93,00","64,68","150,00","0,00","65,55","90,19","0,00","0,00","25,00","438,41",10.0,FSG19
59.0,Dresden TU,"68,00","75,00","100,00","73,83","48,55","58,87","0,00","0,00","0,00","424,26",11.0,FSG19
33.0,Zürich ETH,"90,00","64,68","140,00","13,05","54,31","46,16","0,00","0,00","0,00","408,20",12.0,FSG19
45.0,Sankt Augustin UAS,"81,00","48,41","118,00","53,11","40,03","59,74","0,00","0,00","25,00","375,29",13.0,FSG19
11.0,Terrassa ESEIAAT,"94,00","46,21","110,00","44,94","41,82","37,75","0,00","0,00","5,00","369,72",14.0,FSG19
42.0,Darmstadt TU,"86,00","66,14","90,00","18,53","41,23","5,30","0,00","0,00","5,00","302,20",15.0,FSG19
21.0,Bayreuth U,"95,00","51,54","70,00","31,50","7,46","36,83","0,00","0,00","0,00","292,32",16.0,FSG19
122.0,Leuven KU,"57,00","64,99","85,00","59,93","10,98","4,50","0,00","0,00","0,00","282,39",17.0,FSG19
98.0,Helsinki UAS,"69,00","51,74","80,00","52,02","27,20","32,51","0,00","0,00","35,00","277,47",18.0,FSG19
185.0,Padova U,"97,00","56,13","105,00","0,00","0,00","0,00","0,00","0,00","0,00","258,13",19.0,FSG19
121.0,Thessaloniki U,"81,00","50,70","60,00","43,63","14,06","4,50","0,00","0,00","0,00","253,89",20.0,FSG19
161.0,Göttingen HAWK,"87,00","61,45","75,00","3,50","21,89","4,50","0,00","0,00","5,00","248,34",21.0,FSG19
27.0,Mumbai Somaiya,"86,00","72,00","55,00","0,00","0,00","0,00","0,00","0,00","10,00","203,00",22.0,FSG19
15.0,Madrid TU,"82,00","55,50","75,00","0,00","0,00","0,00","0,00","0,00","15,00","197,50",23.0,FSG19
97.0,Schweinfurt UAS,"99,00","28,17","65,00","0,00","0,00","0,00","0,00","0,00","0,00","192,17",24.0,FSG19
67.0,New Delhi IIT,"81,00","44,96","65,00","3,50","0,00","4,50","0,00","0,00","10,00","188,96",25.0,FSG19
23.0,Amberg OTH,"63,00","54,98","85,00","0,00","0,00","0,00","0,00","0,00","15,00","187,98",26.0,FSG19
28.0,Kassel U,"92,00","41,94","90,00","0,00","0,00","0,00","0,00","0,00","37,00","186,94",27.0,FSG19
13.0,Berlin TU,"86,00","49,14","55,00","0,00","0,00","0,00","0,00","0,00","10,00","180,14",28.0,FSG19
153.0,Kiel UAS,"67,00","59,36","45,00","3,50","16,82","4,50","0,00","0,00","20,00","176,18",29.0,FSG19
51.0,Sevilla U,"92,00","45,17","60,00","0,00","0,00","0,00","0,00","0,00","25,00","172,17",30.0,FSG19
32.0,Ravensburg DHBW,"61,00","58,94","80,00","0,00","0,00","0,00","0,00","0,00","28,00","171,94",31.0,FSG19
36.0,Chemnitz TU,"68,00","42,67","55,00","0,00","0,00","0,00","0,00","0,00","0,00","165,67",32.0,FSG19
91.0,Braunschweig TU,"74,00","36,41","60,00","0,00","0,00","7,80","0,00","0,00","15,00","163,21",33.0,FSG19
127.0,Lausanne EPFL,"40,00","53,62","55,00","0,00","0,00","0,00","0,00","0,00","36,00","112,62",34.0,FSG19
76.0,Jinzhou LUT,"40,00","44,44","40,00","3,50","0,00","18,76","25,00","0,00","70,00","101,70",35.0,FSG19
18.0,Liuzhou UAS,"34,00","29,21","30,00","0,00","0,00","0,00","0,00","0,00","0,00","93,21",36.0,FSG19
53.0,Lemgo TH OWL,"56,00","38,39","35,00","0,00","0,00","0,00","0,00","0,00","40,00","89,39",37.0,FSG19
68.0,Mannheim UAS,"0,00","60,92","0,00","0,00","0,00","0,00","0,00","0,00","35,00","25,92",38.0,FSG19
20.0,Lisboa ISEL,"26,00","30,04","25,00","0,00","0,00","0,00","0,00","0,00","110,00","0,00",39.0,FSG19
