Car,City/University,Cost,BPP,Design,ACC,SkidPad,AutoX,Endu,Effic,Penalties,Overall Scores,Overall Placing,Competition
33.0,Zürich ETH,"95,00","51,07","150,00","67,65","55,06","73,67","291,31","100,00","0,00","883,76",1.0,FSG18
63.0,Trondheim NTNU,"79,50","49,22","130,00","48,54","74,38","72,80","313,11","91,01","0,00","858,55",2.0,FSG18
23.0,Amberg OTH,"94,00","49,22","90,00","57,43","66,03","75,07","325,00","90,57","10,00","837,33",3.0,FSG18
18.0,Karlsruhe KIT,"100,00","55,46","137,00","3,50","60,79","46,46","294,41","98,84","5,00","791,47",4.0,FSG18
40.0,Eindhoven TU,"79,00","57,19","100,00","43,63","57,88","60,98","191,95","87,83","0,00","678,46",5.0,FSG18
65.0,Melbourne Monash,"72,00","75,00","105,00","19,86","33,48","47,52","255,21","80,59","55,00","633,66",6.0,FSG18
44.0,Deggendorf IT,"58,50","46,38","85,00","45,29","49,66","22,43","196,27","88,88","0,00","592,40",7.0,FSG18
60.0,Nürnberg GSO UAS,"61,00","43,99","60,00","24,49","41,11","35,42","234,01","90,51","10,00","580,53",8.0,FSG18
85.0,Delft TU,"100,00","73,00","144,00","63,77","73,32","92,42","0,00","0,00","0,00","546,51",9.0,FSG18
31.0,München TU,"80,00","66,75","146,00","66,18","75,00","100,00","0,00","0,00","0,00","533,93",10.0,FSG18
171.0,Göttingen HAWK,"78,00","49,73","95,00","8,94","31,55","4,50","140,10","91,15","0,00","498,97",11.0,FSG18
25.0,Dresden TU,"88,00","73,00","110,00","75,00","53,91","85,63","0,00","0,00","0,00","485,53",12.0,FSG18
26.0,Stuttgart U,"95,00","75,00","120,00","57,99","70,02","63,47","0,00","0,00","5,00","476,49",13.0,FSG18
5.0,Stuttgart DHBW,"96,00","42,94","115,00","61,25","73,52","72,49","0,00","0,00","0,00","461,20",14.0,FSG18
124.0,Tallinn TU UAS,"87,00","57,47","115,00","51,95","66,34","57,38","0,00","0,00","0,00","435,15",15.0,FSG18
54.0,Barcelona UPC,"67,00","71,00","115,00","47,88","69,55","36,12","0,00","0,00","5,00","401,54",16.0,FSG18
78.0,Hamburg TU,"99,00","26,20","85,00","43,15","52,62","71,54","0,00","0,00","0,00","377,51",17.0,FSG18
3.0,München UAS,"62,00","62,16","105,00","0,00","59,58","51,45","0,00","0,00","5,00","335,19",18.0,FSG18
45.0,Sankt Augustin UAS,"63,00","38,25","80,00","40,55","57,77","20,17","0,00","0,00","5,00","294,73",19.0,FSG18
99.0,Aachen RWTH,"85,00","62,73","105,00","0,00","0,00","49,89","0,00","0,00","30,00","272,62",20.0,FSG18
86.0,Patras U,"89,00","37,61","95,00","7,68","28,85","16,20","0,00","0,00","13,00","261,34",21.0,FSG18
16.0,Diepholz UAS,"70,00","48,20","65,00","3,50","0,00","0,00","25,00","0,00","0,00","211,70",22.0,FSG18
64.0,Kaiserslautern TU,"81,00","54,32","85,00","0,00","0,00","0,00","0,00","0,00","10,00","210,32",23.0,FSG18
35.0,Wolfenbüttel UAS,"77,00","32,90","75,00","41,20","3,50","17,67","0,00","0,00","45,00","202,28",24.0,FSG18
,Ostfalia,,,,,,,,,,,,FSG18
142.0,Clausthal TU,"85,50","25,34","55,00","31,38","0,00","4,50","0,00","0,00","0,00","201,72",25.0,FSG18
118.0,Hannover U,"73,00","41,41","75,00","0,00","0,00","4,50","0,00","0,00","20,00","173,91",26.0,FSG18
61.0,Aalen HS,"68,00","55,27","55,00","0,00","0,00","0,00","0,00","0,00","10,00","168,27",27.0,FSG18
42.0,Quebec City U Laval,"61,00","51,64","60,00","0,00","0,00","0,00","0,00","0,00","10,00","162,64",28.0,FSG18
53.0,Kiel UAS,"75,50","50,49","80,00","0,00","0,00","0,00","0,00","0,00","45,00","160,99",29.0,FSG18
34.0,Ingolstadt UAS,"79,00","40,45","60,00","0,00","0,00","0,00","0,00","0,00","20,00","159,45",30.0,FSG18
11.0,Köln TH,"61,00","35,96","60,00","0,00","0,00","0,00","0,00","0,00","5,00","151,96",31.0,FSG18
72.0,Bremen U,"51,00","45,01","50,00","0,00","0,00","0,00","0,00","0,00","0,00","146,01",32.0,FSG18
123.0,Chemnitz TU,"44,00","42,33","55,00","0,00","0,00","0,00","0,00","0,00","20,00","121,33",33.0,FSG18
19.0,Braunschweig TU,"79,25","30,86","35,00","0,00","0,00","0,00","0,00","0,00","33,00","112,11",34.0,FSG18
119.0,Mülheim a.d.R. HRW,"16,00","36,98","40,00","3,50","18,75","4,50","25,00","0,00","45,00","99,73",35.0,FSG18
29.0,Shiyan HUAT,"46,00","34,94","35,00","0,00","0,00","0,00","0,00","0,00","20,00","95,94",36.0,FSG18
30.0,Saarbrücken U Saarland,"42,00","41,79","25,00","0,00","0,00","0,00","0,00","0,00","22,00","86,79",37.0,FSG18
71.0,Ilmenau TU,"27,00","47,05","60,00","0,00","0,00","0,00","0,00","0,00","50,00","84,05",38.0,FSG18
13.0,Berlin TU,"36,00","17,98","55,00","0,00","0,00","0,00","0,00","0,00","59,00","49,98",39.0,FSG18
101.0,Mannheim DHBW,"0,00","43,03","0,00","0,00","0,00","0,00","0,00","0,00","111,00","0,00",40.0,FSG18
