Car,City/University,Cost,BPP,Design,ACC,SkidPad,AutoX,Endu,Effic,Penalties,Overall Scores,Overall Placing,Competition
26.0,Stuttgart U,"99,00","57,72","135,00","75,00","58,23","100,00","325,00","87,75","0,00","937,71",1.0,FSG21
31.0,München TU,"68,40","59,71","150,00","64,45","61,04","70,32","245,55","100,00","30,00","789,48",2.0,FSG21
59.0,Dresden TU,"72,20","57,72","105,00","70,10","54,23","51,04","259,96","93,92","0,00","764,16",3.0,FSG21
99.0,Aachen RWTH,"90,25","56,68","110,00","68,26","0,00","75,37","253,27","90,29","0,00","744,12",4.0,FSG21
25.0,Athens TU,"89,30","53,50","120,00","34,56","22,55","65,87","264,85","67,87","40,00","678,51",5.0,FSG21
77.0,Stuttgart DHBW,"67,45","60,23","70,00","67,38","0,00","85,10","251,93","85,38","40,00","647,47",6.0,FSG21
35.0,Wolfenbüttel UAS,"77,90","65,49","65,00","58,94","56,87","60,03","195,52","93,94","30,00","643,69",7.0,FSG21
,Ostfalia,,,,,,,,,,,,FSG21
145.0,Sankt Augustin UAS,"100,00","48,54","85,00","62,04","8,89","35,86","158,38","84,39","0,00","583,11",8.0,FSG21
101.0,Mannheim DHBW,"86,45","44,55","115,00","17,81","23,46","39,24","167,23","85,78","0,00","579,53",9.0,FSG21
97.0,Schweinfurt UAS,"82,65","44,84","65,00","28,31","27,47","31,07","178,09","83,38","0,00","540,82",10.0,FSG21
41.0,Wien TU,"74,10","67,78","95,00","0,00","0,00","51,37","158,59","96,01","15,00","527,86",11.0,FSG21
778.0,Hamburg TU,"66,50","70,00","95,00","30,49","0,00","39,05","119,44","94,24","5,00","509,73",12.0,FSG21
21.0,Karlsruhe KIT,"88,35","75,00","130,00","58,40","58,64","62,95","0,00","0,00","0,00","473,34",13.0,FSG21
161.0,Göttingen HAWK,"91,20","51,35","95,00","18,01","6,62","12,60","114,91","92,90","10,00","472,60",14.0,FSG21
188.0,Augsburg UAS,"86,45","66,15","75,00","38,19","16,93","4,50","65,91","87,53","0,00","440,65",15.0,FSG21
85.0,Delft TU,"91,20","73,00","115,00","42,19","45,57","61,69","0,00","0,00","0,00","428,65",16.0,FSG21
33.0,Zürich ETH,"85,50","61,42","140,00","62,32","12,46","65,37","0,00","0,00","0,00","427,08",17.0,FSG21
53.0,Kiel UAS,"62,70","49,58","75,00","16,34","0,00","27,80","92,38","94,80","15,00","403,60",18.0,FSG21
54.0,Barcelona UPC,"88,35","44,10","95,00","50,86","47,96","65,10","0,00","0,00","0,00","391,36",19.0,FSG21
167.0,Prague CTU,"78,85","48,25","80,00","54,27","41,56","57,23","0,00","0,00","5,00","355,16",20.0,FSG21
63.0,Trondheim NTNU,"86,45","62,45","100,00","17,38","75,00","4,50","0,00","0,00","0,00","345,78",21.0,FSG21
29.0,Bayreuth U,"90,25","63,04","90,00","51,60","39,59","4,50","0,00","0,00","0,00","338,98",22.0,FSG21
742.0,Darmstadt TU,"0,00","54,76","70,00","8,73","3,50","4,50","58,54","91,93","0,00","291,96",23.0,FSG21
23.0,Amberg OTH,"63,65","51,95","90,00","57,61","30,98","24,45","0,00","0,00","30,00","288,63",24.0,FSG21
20.0,Hannover U,"66,50","61,86","80,00","20,00","0,00","43,10","0,00","0,00","6,00","265,47",25.0,FSG21
50.0,Lisboa IST,"60,80","56,09","85,00","45,30","29,51","4,50","0,00","0,00","25,00","256,20",26.0,FSG21
185.0,Padova U,"76,00","72,00","90,00","32,32","3,50","0,00","0,00","0,00","35,00","238,82",27.0,FSG21
34.0,Ingolstadt UAS,"60,80","59,34","85,00","3,50","25,58","0,00","0,00","0,00","0,00","234,23",28.0,FSG21
51.0,Sevilla U,"88,35","74,00","70,00","3,50","3,50","4,50","0,00","0,00","15,00","228,85",29.0,FSG21
13.0,München UAS,"93,10","31,82","85,00","0,00","0,00","0,00","0,00","0,00","0,00","209,92",30.0,FSG21
62.0,Regensburg OTH,"89,30","56,24","75,00","20,84","8,64","4,50","0,00","0,00","49,00","205,52",31.0,FSG21
60.0,Nürnberg GSO UAS,"51,30","40,70","15,00","45,44","0,00","32,34","0,00","0,00","0,00","184,78",32.0,FSG21
43.0,Konstanz UAS,"82,65","37,59","60,00","0,00","0,00","4,50","0,00","0,00","0,00","184,74",33.0,FSG21
36.0,Chemnitz TU,"77,90","57,86","55,00","0,00","0,00","0,00","0,00","0,00","30,00","160,76",34.0,FSG21
113.0,Berlin TU,"79,80","52,61","55,00","0,00","0,00","0,00","0,00","0,00","35,00","152,41",35.0,FSG21
71.0,Ilmenau TU,"61,75","45,43","60,00","0,00","0,00","0,00","0,00","0,00","18,00","149,18",36.0,FSG21
127.0,Lausanne EPFL,"41,80","36,41","75,00","0,00","28,71","4,50","0,00","0,00","60,00","126,42",37.0,FSG21
18.0,Diepholz UAS,"42,75","45,14","25,00","0,00","0,00","0,00","0,00","0,00","64,00","48,89",38.0,FSG21
